District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Jamnagar,22.47,70.07,315,4411,34,4062
Jammu,32.7333,74.85,6017,8998,99,2882
Jalpaiguri,26.5167,88.7333,601,4891,42,4248
Jalore,25.35,72.6167,172,1541,13,1356
Jalna,19.8333,75.8833,1813,6169,172,4184
Jalgaon,21.0167,75.5667,9440,38669,1057,28172
Jalaun,26.145,79.3364,351,1816,17,1448
Jalandhar,31.3256,75.5792,2643,10149,271,7235
Jajpur,20.8389975,86.3143831,1305,6006,8,4693
Jaisalmer,26.9167,70.9167,132,560,6,422
Jaipur,26.9167,75.8667,5671,15672,302,9699
Jagatsinghpur,20.2,86.3,918,3188,6,2264
Jabalpur,23.1667,79.9333,1235,6643,114,5294
Italians,,,0,16,0,16
Indore,22.7206,75.8472,5298,17547,467,11782
Idukki,9.8279079,76.8595592,522,2360,3,1835
Howrah,22.5844,88.2664,996,15496,468,14032
Hoshiarpur,31.5322,75.9172,1064,3114,98,1952
Hoshangabad,22.75,77.72,347,972,24,601
Hooghly,22.9027412,88.3547135,1433,10436,178,8825
Hnahthial,23.6955939,93.3750691,4,4,0,0
Hisar,29.1489,75.7367,1145,4070,33,2892
Hingoli,19.72,77.15,540,2200,48,1612
Hazaribagh,23.98,85.35,685,2666,21,1960
Haveri,14.8,75.4,1760,6981,132,5089
Hathras,27.36,78.03,121,824,7,696
Hassan,13.06,76.1,3264,12542,236,9042
Haridwar,29.9667,78.1667,2306,7180,69,4805
Hardoi,27.42,80.12,796,3662,51,2815
Harda,22.33,77.1,145,666,14,507
Hapur,28.728,77.7847,354,2204,35,1815
Hanumangarh,29.5833,74.3167,106,636,2,528
Hamirpur,25.9547253,80.1464867,289,1616,20,1307
Gwalior,26.215,78.1931,2148,8029,89,5792
Gurugram,28.4228859,76.8496635,2438,15923,151,13334
Gurdaspur,32.0333,75.4,1443,4354,99,2812
Guntur,16.3,80.45,7179,46645,469,38997
Guna,24.65,77.3167,149,510,12,349
Gumla,23,84.5,419,1356,2,935
Gorakhpur,26.7636979,83.3338712,2726,13119,196,10197
Gopalganj,26.47,84.43,524,3535,2,3009
Gondia,21.45,80.2,1237,3444,38,2169
Gonda,27.1333,81.9333,432,3228,33,2763
Gomati,23.5183243,91.358571,637,2208,22,1549
Godda,24.83,87.22,134,1069,6,929
Giridih,24.1814,86.3108,322,2822,9,2491
Gir Somnath,20.9917609,70.451566,175,1193,16,1002
Ghazipur,25.5833,83.5667,334,3402,36,3032
Ghaziabad,28.6667,77.4167,1858,11335,73,9404
Gaya,24.75,85.0167,334,5206,44,4828
Gautam Buddha Nagar,28.3693136,77.2386288,1928,10482,48,8506
Gaurela Pendra Marwahi,22.8588426,81.7835258,155,191,0,36
Gariaband,20.6347891,82.0527426,281,810,6,523
Garhwa,24.1610416,83.7822759,175,1615,7,1433
Ganjam,19.3884398,85.0374766,295,19301,223,18783
Ganganagar,29.9178,73.8817,183,980,9,788
Gandhinagar,23.22,72.68,494,3010,67,2449
Ganderbal,34.2164946,74.7631883,537,2205,26,1642
Gajapati,19.1935407,83.8385004,140,3175,19,3016
Gadchiroli,20.1749707,79.9782545,342,1310,2,966
Gadag,15.4167,75.6167,999,7692,111,6582
Firozabad,27.15,78.42,412,2203,51,1740
Ferozepur,30.9319375,74.5892518,661,2456,79,1716
Fazilka,30.403,74.025,409,1518,23,1086
Fatehpur,25.9227617,80.7814401,407,1840,27,1406
Fatehgarh Sahib,30.6537881,76.3770158,260,1506,60,1186
Fatehabad,29.5049081,75.437993,727,1748,23,998
Farrukhabad,27.3905,79.5801,435,1864,32,1397
Faridkot,30.65,74.75,724,2054,33,1297
Faridabad,28.4167,77.3,1773,16409,195,14441
Evacuees,,,0,61,0,61
Etawah,26.77,79.03,846,3244,46,2352
Etah,27.5569971,78.6379863,433,1445,12,1000
Erode,11.35,77.7333,1046,4803,63,3694
Ernakulam,9.9783,76.2836,3125,9617,50,6442
East Singhbhum,22.6126068,86.1990915,2700,11002,250,8052
East Siang,28.2654181,94.8126591,155,422,1,266
East Khasi Hills,25.4222897,91.475646,1187,2534,24,1323
East Kameng,27.4904152,92.4479927,21,243,0,222
East Jaintia Hills,25.257107,92.2296684,203,246,0,43
East Godavari,17.1567186,81.179812,11999,79643,464,67180
East Garo Hills,25.6214807,90.4950612,17,104,0,87
East Champaran,26.6370346,84.6075986,465,5887,33,5389
Durg,21.19,81.28,3702,6726,58,2966
Dungarpur,23.8431,73.7144,196,1344,13,1135
Dumka,24.27,87.25,188,831,6,637
Doda,33.13,75.57,576,1053,15,462
Diu,20.715,70.9844,40,284,0,244
Dindori,22.9407277,81.067257,96,283,0,187
Dindigul,10.35,77.95,676,8001,151,7174
Dimapur,25.9125,93.7417,796,2572,9,1767
Dibang Valley,28.915827,95.6054422,0,0,0,0
Dhule,20.9,74.7833,1687,11001,281,9033
Dholpur,26.7,77.9,170,2562,24,2368
Dhenkanal,20.6574,85.5969,465,2687,2,2220
Dharwad,15.4667,75.0167,2298,14681,431,11952
Dharmapuri,12.127,78.158,816,2204,20,1368
Dhar,22.6,75.3,484,1497,20,993
Dhanbad,23.78,86.41,993,4154,48,3113
Dhamtari,20.71,81.55,624,1071,2,445
Dhalai,23.8247732,91.6803919,848,2025,8,1169
Dewas,22.9659,76.0553,196,1000,19,785
Devbhumi Dwarka,22.2403,68.9686,13,428,4,411
Deoria,26.5017,83.7792,896,5151,56,4199
Deoghar,24.4739933,86.6651874,240,1880,14,1626
Deogarh,21.53,84.73,116,422,0,306
Delhi Region,28.7,77.2,29787,225796,4806,191203
Dehradun,30.325,78.0461,3510,8391,214,4667
Davanagere,14.4667,75.9167,2752,13627,227,10648
Dausa,26.89,76.3358,101,714,9,604
Datia,25.67,78.47,178,1009,11,820
Darjeeling,27.0417,88.2631,774,6498,93,5631
Darbhanga,26.1667,85.9,364,2829,20,2445
Dang,20.8241472,73.426486,21,81,0,60
Damoh,23.84,79.45,385,1114,20,709
Daman,20.4169,72.834,65,1155,1,1089
Dakshina Kannada,12.8176867,74.9429238,4034,18092,450,13608
Dakshin Dinajpur,25.3879473,88.3059845,437,4599,29,4133
Dakshin Bastar Dantewada,18.7881211,81.1803654,521,878,3,354
Dahod,22.8333,74.2667,360,1466,6,1100
Dadra and Nagar Haveli,20.2073394,72.9336742,146,1345,1,1198
Cuttack,20.45,85.8667,3252,13739,58,10429
Cuddalore,11.75,79.75,2558,16835,184,14093
Cooch Behar,26.3299633,89.4116111,601,4445,24,3820
Coimbatore,11,76.9667,3593,23147,361,19193
Churu,28.3,74.95,156,1299,10,1133
Chittorgarh,24.9048329,74.5865746,174,1318,12,1132
Chittoor,13.2,79.1167,7944,50718,543,42231
Chitrakoot,25.2151459,80.8437925,190,985,5,790
Chitradurga,14.2333,76.4,1544,5259,33,3682
Chikkamagaluru,13.3167,75.7833,1752,6533,104,4677
Chikkaballapura,13.435,77.7278,1016,5976,73,4887
Chhota Udaipur,22.304,74.0158,83,421,2,336
Chhindwara,22.0597,78.9481,242,764,16,506
Chhatarpur,24.9,79.6,147,895,21,727
Chennai,13.09,80.27,9886,150572,3001,137685
Chengalpattu,12.6906,79.9778,2119,31067,491,28457
Chatra,24.2045,84.877,288,1063,5,770
Charkhi Dadri,28.6,76.266,148,416,1,267
Changlang,27.7588227,96.6132545,118,623,2,503
